source,pt_PT
Button Color,Cor do botão
"By ""Naming Series"" field","Pelo campo ""Nomeando Séries"""
"By default the title is used as meta title, adding a value here will override it.","Por padrão, o título é usado como meta título, adicionar um valor aqui irá substituí-lo."
By fieldname,Por nome de campo
By script,Por roteiro
Bypass Two Factor Auth for users who login from restricted IP Address,Ignorar autenticação de dois fatores para usuários que fazem login a partir de um endereço IP restrito
C5E,C5E
CANCELLED,CANCELADO
CC,CC
CMD,DMC
COLOR PICKER,SELETOR DE CORES
CSS,CSS
CSS selector for the element you want to highlight.,Seletor CSS para o elemento que você deseja destacar.
CSV,CSV
Cache,Cache
Cache Cleared,Cache limpo
Calculate,Calcular
Calculated Discount Mismatch,Incompatibilidade de desconto calculado
Calendar,Calendário
Calendar View,Visualização de calendário
Call,Chamar
Campaign,Campanha
Campaign Description (Optional),Descrição da campanha (opcional)
Can not rename as column {0} is already present on DocType.,Não é possível renomear porque a coluna {0} já está presente no DocType.
Can only change to/from Autoincrement naming rule when there is no data in the doctype,Só é possível alterar de/para a regra de nomenclatura de incremento automático quando não há dados no tipo de documento
Can only list down the document types which has been linked to the User document type.,Só é possível listar os tipos de documentos que foram vinculados ao tipo de documento Usuário.
Can't follow since changes are not tracked.,Não é possível acompanhar porque as alterações não são rastreadas.
Can't rename {0} to {1} because {0} doesn't exist.,Não é possível renomear {0} para {1} porque {0} não existe.
Cancel All,Cancelar tudo
Cancel All Documents,Cancelar todos os documentos
Cancel Import,Cancelar importação
Cancel Prepared Report,Cancelar relatório preparado
Cancel {0} documents?,Cancelar {0} documentos?
Cancelled,Cancelado
Cancelled Document restored as Draft,Documento cancelado restaurado como rascunho
Cancelling,Cancelando
Cancelling documents,Cancelamento de documentos
Cancelling {0},Cancelando {0}
Cannot Download Report due to insufficient permissions,Não é possível baixar o relatório devido a permissões insuficientes
Cannot Fetch Values,Não é possível buscar valores
Cannot Remove,Não é possível remover
Cannot Update After Submit,Não é possível atualizar após enviar
Cannot access file path {0},Não é possível acessar o caminho do arquivo {0}
Cannot attach a folder to a document,Não é possível anexar uma pasta a um documento
Cannot cancel before submitting while transitioning from <b>{0} State</b> to <b>{1} State</b>,Não é possível cancelar antes do envio durante a transição de <b>{0} Estado</b> para <b>{1} Estado</b>
Cannot cancel before submitting. See Transition {0},Não é possível cancelar antes de enviar. Consulte Transição {0}
Cannot cancel {0}.,Não é possível cancelar {0}.
Cannot change docstatus from 0 (Draft) to 2 (Cancelled),Não é possível alterar o status do documento de 0 (rascunho) para 2 (cancelado)
Cannot change docstatus from 1 (Submitted) to 0 (Draft),Não é possível alterar o status do documento de 1 (Enviado) para 0 (Rascunho)
Cannot change state of Cancelled Document <b>({0} State)</b>,Não é possível alterar o estado do documento cancelado <b>({0} Estado)</b>
Cannot change state of Cancelled Document. Transition row {0},Não é possível alterar o estado do documento cancelado. Linha de transição {0}
Cannot change to/from autoincrement autoname in Customize Form,Não é possível alterar de/para o nome automático de incremento automático no formulário personalizado
Cannot create a {0} against a child document: {1},Não é possível criar um {0} em um documento filho: {1}
Cannot create private workspace of other users,Não é possível criar um espaço de trabalho privado de outros usuários
Cannot delete Desktop Icon '{0}' as it is restricted,Não é possível excluir o ícone da área de trabalho '{0}' porque ele é restrito
Cannot delete Home and Attachments folders,Não é possível excluir as pastas Início e Anexos
Cannot delete or cancel because {0} {1} is linked with {2} {3} {4},Não é possível excluir ou cancelar porque {0} {1} está vinculado a {2} {3} {4}
Cannot delete standard action. You can hide it if you want,Não é possível excluir a ação padrão. Você pode escondê-lo se quiser
Cannot delete standard document state.,Não é possível excluir o estado padrão do documento.
Cannot delete standard field <strong>{0}</strong>. You can hide it instead.,Não é possível excluir o campo padrão <strong>{0}</strong>. Você pode ocultá-lo.
Cannot delete standard field. You can hide it if you want,Não é possível excluir o campo padrão. Você pode escondê-lo se quiser
Cannot delete standard link. You can hide it if you want,Não é possível excluir o link padrão. Você pode escondê-lo se quiser
Cannot delete system generated field <strong>{0}</strong>. You can hide it instead.,Não é possível excluir o campo <strong>{0}</strong> gerado pelo sistema. Você pode ocultá-lo.
Cannot delete {0},Não é possível excluir {0}
Cannot delete {0} as it has child nodes,Não é possível excluir {0} porque ele possui nós filhos
Cannot edit Standard Dashboards,Não é possível editar painéis padrão
"Cannot edit Standard Notification. To edit, please disable this and duplicate it","Não é possível editar a notificação padrão. Para editar, desative esta opção e duplique-a"
Cannot edit Standard charts,Não é possível editar gráficos padrão
Cannot edit a standard report. Please duplicate and create a new report,Não é possível editar um relatório padrão. Duplique e crie um novo relatório
Cannot edit cancelled document,Não é possível editar o documento cancelado
Cannot edit filters for standard charts,Não é possível editar filtros para gráficos padrão
Cannot edit filters for standard number cards,Não é possível editar filtros para cartões numéricos padrão
Cannot edit standard fields,Não é possível editar campos padrão
Cannot enable {0} for a non-submittable doctype,Não é possível ativar {0} para um tipo de documento não submissível
Cannot find file {} on disk,Não é possível encontrar o arquivo {} no disco
Cannot get file contents of a Folder,Não é possível obter o conteúdo do arquivo de uma pasta
Cannot have multiple printers mapped to a single print format.,Não é possível ter várias impressoras mapeadas para um único formato de impressão.
Cannot import table with more than 5000 rows.,Não é possível importar tabela com mais de 5.000 linhas.
Cannot link cancelled document: {0},Não é possível vincular o documento cancelado: {0}
Cannot map because following condition fails:,Não é possível mapear porque a seguinte condição falha:
Cannot match column {0} with any field,Não é possível corresponder a coluna {0} a nenhum campo
Cannot move row,Não é possível mover a linha
Cannot remove ID field,Não é possível remover o campo ID
Cannot set 'Report' permission if 'Only If Creator' permission is set,Não é possível definir a permissão 'Relatório' se a permissão 'Somente se Criador' estiver definida
Cannot set Notification with event {0} on Document Type {1},Não é possível definir notificação com evento {0} no tipo de documento {1}
Cannot share {0} with submit permission as the doctype {1} is not submittable,Não é possível compartilhar {0} com permissão de envio porque o tipo de documento {1} não pode ser enviado
Cannot submit {0}.,Não é possível enviar {0}.
Cannot update {0},Não é possível atualizar {0}
Cannot use sub-query here.,Não é possível usar subconsulta aqui.
Cannot use {0} in order/group by,Não é possível usar {0} em ordem/agrupar por
Cannot {0} {1}.,Não é possível {0} {1}.
Capitalization doesn't help very much.,A capitalização não ajuda muito.
Capture,Capturar
Card Break,Quebra de cartão
Card Label,Etiqueta do cartão
Card Links,Links de cartão
Category,Categoria
Change,Mudar
Change Image,Alterar imagem
Change Letter Head,Alterar cabeçalho da carta
Change Print Format,Alterar formato de impressão
Changed at,Alterado em
Changed by,Alterado por
Changelog Feed,Feed do registro de alterações
Changes,Mudanças
Changing any setting will reflect on all the email accounts associated with this domain.,A alteração de qualquer configuração refletirá em todas as contas de Email associadas a este domínio.
Changing rounding method on site with data can result in unexpected behaviour.,Alterar o método de arredondamento no local com dados pode resultar em comportamento inesperado.
Chart,Gráfico
Chart Type,Tipo de gráfico
Chat,Bater papo
Check Request URL,Verifique o URL da solicitação
"Check columns to select, drag to set order.","Marque as colunas para selecionar, arraste para definir a ordem."
Check the Error Log for more information: {0},Verifique o registro de erros para obter mais informações: {0}
Check this if the Update Value is a formula or expression (e.g. doc.amount * 2). Leave unchecked for plain text values.,"Verifique se o valor de atualização é uma fórmula ou expressão (por exemplo, doc.amount * 2). Deixe desmarcado para valores de texto simples."
Check this if you don't want users to sign up for an account on your site. Users won't get desk access unless you explicitly provide it.,"Marque esta opção se não quiser que os usuários se inscrevam em uma conta no seu site. Os usuários não terão acesso à mesa, a menos que você o forneça explicitamente."
"Check to display the full numeric value (e.g., 1,234,567 instead of 1.2M).","Marque para exibir o valor numérico completo (por exemplo, 1.234.567 em vez de 1,2M)."
Checking one moment,Verificando um momento
"Checking this will enable tracking page views for blogs, web pages, etc.","Marcar isso permitirá o rastreamento de visualizações de páginas de blogs, páginas da web, etc."
Checking this will hide custom doctypes and reports cards in Links section,Marcar isso ocultará documentos personalizados e cartões de relatórios na seção Links
Checking this will publish the page on your website and it'll be visible to everyone.,Marcar isso publicará a página em seu site e ficará visível para todos.
Checking this will show a text area where you can write custom javascript that will run on this page.,Marcar isso mostrará uma área de texto onde você pode escrever javascript personalizado que será executado nesta página.
Child DocTypes are not allowed,DocTypes filhos não são permitidos
Child Doctype,Tipo de documento filho
Child Item,Item filho
Child Table {0} for field {1} must be virtual,A tabela filha {0} para o campo {1} deve ser virtual
Child Tables are shown as a Grid in other DocTypes,Tabelas filhas são mostradas como uma grade em outros DocTypes
Child query fields for '{0}' must be a list or tuple.,Os campos de consulta filho para '{0}' devem ser uma lista ou tupla.
Choose Existing Card or create New Card,Escolha o cartão existente ou crie um novo cartão
Choose a block or continue typing,Escolha um bloco ou continue digitando
Choose a color,Escolha uma cor
Choose an icon,Escolha um ícone
City,Cidade
Clear & Add Template,Limpar e adicionar modelo
Clear & Add template,Limpar e adicionar modelo
Clear All,Limpar tudo
Clear Assignment,Limpar tarefa
Clear Cache and Reload,Limpar cache e recarregar
Clear Error Logs,Limpar registros de erros
Clear Filters,Limpar filtros
Clear Link,Limpar link
Clear Logs After (days),Limpar registros após (dias)
Clear User Permissions,Limpar permissões do usuário
Clear all filters,Limpar todos os filtros
Clear the email message and add the template,Limpe a mensagem de Email e adicione o modelo
"Clearing end date, as it cannot be in the past for published pages.","Data de término de compensação, pois não pode estar no passado para páginas publicadas."
Click On Customize to add your first widget,Clique em Personalizar para adicionar seu primeiro widget
Click below to get started:,Clique abaixo para começar:
Click here,Clique aqui
Click on a file to select it.,Clique em um arquivo para selecioná-lo.
Click on the button to log in to {0},Clique no botão para fazer login em {0}
Click on the link below to approve the request,Clique no link abaixo para aprovar a solicitação
Click on the link below to complete your registration and set a new password,Clique no link abaixo para concluir seu cadastro e definir uma nova senha
Click on the link below to download your data,Clique no link abaixo para baixar seus dados
Click on the link below to verify your request,Clique no link abaixo para verificar sua solicitação
Click on {0} to edit,Clique em {0} para editar
Click on {0} to generate Refresh Token.,Clique em {0} para gerar o token de atualização.
Click table to edit,Clique na tabela para editar
Click to Set Dynamic Filters,Clique para definir filtros dinâmicos
Click to Set Filters,Clique para definir filtros
Click to sort by {0},Clique para classificar por {0}
Client Id,ID do cliente
Client Metadata,Metadados do cliente
Client Script,Script do cliente
Client Secret Basic,Segredo do cliente básico
Client Secret Post,Postagem secreta do cliente
Client URI,URI do cliente
Client URLs,URLs de clientes
Client script,Script do cliente
Close,Fechar
Close properties,Fechar propriedades
Closed,Fechado
Cmd+Enter to add comment,Cmd+Enter para adicionar comentário
Code Challenge,Desafio de código
Code Editor Type,Tipo de editor de código
Code challenge method,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.
Collapse,Colapso
Collapse All,Recolher tudo
Collapsible Depends On (JS),Depende do dobrável (JS)
Column,Coluna
Column 1,Coluna 1
Column 2,Coluna 2
Column <b>{0}</b> already exist.,A coluna <b>{0}</b> já existe.
Column Labels:,Etiquetas de coluna:
Column Name,Nome da coluna
Column Name cannot be empty,O nome da coluna não pode ficar vazio
Column Width,Largura da coluna
Column width cannot be zero.,A largura da coluna não pode ser zero.
Column {0},Coluna {0}
Columns based on,Colunas baseadas em
Combination of Grant Type (<code>{0}</code>) and Response Type (<code>{1}</code>) not allowed,Combinação de tipo de concessão (<code>{0}</code>) e tipo de resposta (<code>{1}</code>) não permitida
Comm10E,Comm10E
Comment,Comentário
Comment Email,Email de comentário
Comment Type,Tipo de comentário
Comment can only be edited by the owner,O comentário só pode ser editado pelo proprietário
Comment publicity can only be updated by the original author or a System Manager.,A publicidade dos comentários só pode ser atualizada pelo autor original ou por um Gerente do Sistema.
Comments,Comentários
Comments cannot have links or email addresses,Os comentários não podem conter links ou endereços de Email
Commercial Rounding,Arredondamento Comercial
Committed,Empenhado
Common names and surnames are easy to guess.,Nomes e sobrenomes comuns são fáceis de adivinhar.
Common words are easy to guess.,Palavras comuns são fáceis de adivinhar.
Communication,Comunicação
Communication Date,Data de Comunicação
Communication Link,Link de comunicação
Communication Type,Tipo de comunicação
Communication secret not set,Segredo de comunicação não definido
Company History,História da Empresa
Company Name,nome da empresa
Compare Versions,Comparar versões
Compilation warning,Aviso de compilação
Compiled Successfully,Compilado com sucesso
Complete,Completo
Complete By,Concluir por
Complete Registration,Registro completo
Complete Setup,Configuração completa
Completed,Concluído
Completed By Role,Concluído por função
Completed By User,Concluído pelo usuário
Component,Componente
Compose Email,Escrever Email
Compressed,Comprimido
Condition,Doença
Condition JSON,Condição JSON
Condition Type,Tipo de condição
Condition description,Descrição da condição
Conditions,Condições
Config,Configuração
Configuration,Configuração
Configure Chart,Configurar gráfico
Configure Columns,Configurar colunas
Configure Recorder,Configurar gravador
Configure columns for {0},Configurar colunas para {0}
Configure how amended documents will be named.<br>||||||Default behaviour is to follow an amend counter which adds a number to the end of the original name indicating the amended version. <br>||||||Default Naming will make the amended document to behave same as new documents.,Configure como os documentos alterados serão nomeados.<br>||||||O comportamento padrão é seguir um contador de alterações que adiciona um número ao final do nome original indicando a versão alterada. <br>||||||A nomenclatura padrão fará com que o documento alterado se comporte da mesma forma que os novos documentos.
"Configure various aspects of how document naming works like naming series, current counter.","Configure vários aspectos de como a nomenclatura de documentos funciona, como nomenclatura de séries e contador atual."
Confirm Access,Confirmar acesso
Confirm Deletion of Account,Confirmar exclusão da conta
Confirm New Password,Confirme a nova senha
Confirm Password,Confirme sua senha
Confirm Request,Confirmar solicitação
Confirmation Email Template,Modelo de Email de confirmação
Confirmed,Confirmado
"Congratulations on completing the module setup. If you want to learn more you can refer to the documentation <a target=""_blank"" href=""{0}"">here</a>.","Parabéns por concluir a configuração do módulo. Se quiser saber mais, consulte a documentação <a target=""_blank"" href=""{0}"">aqui</a>."
Connect to {},Conecte-se a {}
Connected App,Aplicativo conectado
Connected User,Usuário conectado
Connected to QZ Tray!,Conectado à bandeja QZ!
Connection Lost,Conexão perdida
Connection Success,Sucesso de conexão
Connection lost. Some features might not work.,Conexão perdida. Alguns recursos podem não funcionar.
Connections,Conexões
Console,Console
Console Log,Registro do console
Console Logs can not be deleted,Os logs do console não podem ser excluídos
Constraints,Restrições
Contact / email not found. Did not add attendee for -<br>{0},Contato/Email não encontrado. Não foi adicionado participante para -<br>{0}
Contact Email,Email de contato
Contact Phone,Telefone de contato
Contact Synced with Google Contacts.,Contato sincronizado com os Contatos do Google.
Contact Us,Contate-nos
Contact Us Settings,Contate-nos Configurações
"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.","Opções de contato, como ""Consulta de vendas, Consulta de suporte"" etc., cada uma em uma nova linha ou separadas por vírgulas."
Contains {0} security fix,Contém {0} correção de segurança
Contains {0} security fixes,Contém {0} correções de segurança
Content Hash,Hash de conteúdo
Content data shoud be a list,Os dados de conteúdo devem ser uma lista
Content type for building the page,Tipo de conteúdo para construção da página
Context Script,Script de Contexto
Continue,Continuar
Contribution Status,Status de contribuição
"Controls whether new users can sign up using this Social Login Key. If unset, Website Settings is respected.","Controla se novos usuários podem se inscrever usando esta chave de login social. Se não for definido, as configurações do site serão respeitadas."
Copied to clipboard.,Copiado para a área de transferência.
Copied {0} {1} to clipboard,Copiado {0} {1} para a área de transferência
Copy Apps Version,Copiar versão dos aplicativos
Copy File URL,Copiar URL do arquivo
Copy Link,Copiar link
Copy embed code,Copiar código incorporado
Copy error to clipboard,Erro de cópia para a área de transferência
Copy to Clipboard,Copiar para a área de transferência
Copy token to clipboard,Copiar token para a área de transferência
Core,Essencial
Core DocTypes cannot be customized.,Os DocTypes principais não podem ser personalizados.
Core Modules {0} cannot be searched in Global Search.,Os Módulos Principais {0} não podem ser pesquisados ​​na Pesquisa Global.
Correct version :,Versão correta:
Could not connect to outgoing email server,Não foi possível conectar-se ao servidor de Email de saída
Could not find {0},Não foi possível encontrar {0}
Could not map column {0} to field {1},Não foi possível mapear a coluna {0} para o campo {1}
Could not parse field: {0},Não foi possível analisar o campo: {0}
Could not start Chromium. Check logs for details.,Não foi possível iniciar o Chromium. Verifique os registros para obter detalhes.
"Couldn't save, please check the data you have entered","Não foi possível salvar, verifique os dados inseridos"
Count,Contar
Count Customizations,Contar personalizações
Count Filter,Filtro de contagem
Count of linked documents,Contagem de documentos vinculados
Country,País
Country Code Required,Código do país obrigatório
Cr,Cr
Create,Criar
Create & Continue,Criar e continuar
Create Address,Criar endereço
Create Card,Criar cartão
Create Chart,Criar gráfico
Create Child Doctype,Criar tipo de documento filho
Create Contacts from Incoming Emails,Crie contatos a partir de Emails recebidos
Create Letter Head,Criar cabeçalho de carta
Create Log,Criar registro
Create New DocType,Criar novo tipo de documento
Create New Kanban Board,Criar novo quadro Kanban
Create Saved Filter,Criar filtro salvo
Create User Email,Criar Email de usuário
Create a New Format,Crie um novo formato
Create a Reminder,Crie um lembrete
Create a new ...,Crie um novo...
Create a new record,Crie um novo registro
Create a new {0},Crie um novo {0}
Create a {0} Account,Crie uma conta {0}
Create or Edit Print Format,Criar ou editar formato de impressão
Create or Edit Workflow,Criar ou editar fluxo de trabalho
Create your first {0},Crie seu primeiro {0}
Create your workflow visually using the Workflow Builder.,Crie seu fluxo de trabalho visualmente usando o Workflow Builder.
Created,Criado
Created At,Criado em
Created By,Criado por
Created By You,Criado por você
Created By {0},Criado por {0}
Created Custom Field {0} in {1},Campo personalizado criado {0} em {1}
Created On,Criado em
Creating {0},Criando {0}
Creation of this document is only permitted in developer mode.,A criação deste documento só é permitida no modo de desenvolvedor.
Cron,Cron
Cron format is required for job types with Cron frequency.,O formato Cron é necessário para tipos de trabalho com frequência Cron.
Crop,Cortar
Ctrl + Down,Ctrl + Baixo
Ctrl + Up,Ctrl + Cima
Ctrl+Enter to add comment,Ctrl+Enter para adicionar comentário
Currency,Moeda
"Currency list stores the currency value, its symbol and fraction unit","A lista de moedas armazena o valor da moeda, seu símbolo e unidade fracionária"
Current,Atual
Current Job ID,ID do trabalho atual
Current Value,Valor Atual
Current status,Estado atual
Currently Viewing,Atualmente visualizando
Custom,Personalizado
Custom Base URL,URL base personalizado
Custom Block Name,Nome do bloco personalizado
Custom Blocks,Blocos personalizados
Custom Delimiters,Delimitadores personalizados
Custom DocPerm,DocPerm personalizado
Custom Document Types (Select Permission),Tipos de documentos personalizados (selecionar permissão)
Custom Document Types Limit Exceeded,Limite de tipos de documentos personalizados excedido
Custom Documents,Documentos personalizados
Custom Field,Campo personalizado
Custom Field {0} is created by the Administrator and can only be deleted through the Administrator account.,O campo personalizado {0} é criado pelo administrador e só pode ser excluído por meio da conta do administrador.
Custom Fields can only be added to a standard DocType.,Campos personalizados só podem ser adicionados a um DocType padrão.
Custom Fields cannot be added to core DocTypes.,Os campos personalizados não podem ser adicionados aos DocTypes principais.
Custom Footer,Rodapé personalizado
Custom Group Search,Pesquisa de grupo personalizada
"Custom Group Search if filled needs to contain the user placeholder {0}, eg uid={0},ou=users,dc=example,dc=com","A pesquisa de grupo personalizada, se preenchida, precisa conter o espaço reservado do usuário {0}, por exemplo, uid={0},ou=users,dc=example,dc=com"
Custom HTML,HTML personalizado
Custom HTML Block,Bloco HTML personalizado
"Custom LDAP Directoy Selected, please ensure 'LDAP Group Member attribute' and 'Group Object Class' are entered","Diretório LDAP personalizado selecionado, certifique-se de que 'Atributo de membro do grupo LDAP' e 'Classe de objeto de grupo' sejam inseridos"
Custom Label,Etiqueta personalizada
Custom Menu Items,Itens de menu personalizados
Custom Reports,Relatórios personalizados
Custom Role,Função personalizada
Custom Sidebar Menu,Menu da barra lateral personalizado
Custom field renamed to {0} successfully.,Campo personalizado renomeado para {0} com sucesso.
"Custom get_list method for {0} must return a QueryBuilder object or None, got {1}","O método get_list personalizado para {0} deve retornar um objeto QueryBuilder ou None, obtido {1}"
Custom?,Personalizado?
Customization,Personalização
Customizations Discarded,Personalizações descartadas
Customizations Reset,Redefinição de personalizações
Customizations for <b>{0}</b> exported to:<br>{1},Personalizações para <b>{0}</b> exportadas para:<br>{1}
Customize,Personalizar
Customize Child Table,Personalizar tabela filho
Customize Dashboard,Personalizar painel
Customize Form,Personalizar formulário
Customize Form - {0},Personalizar formulário - {0}
Customize Form Field,Personalizar campo de formulário
Customize Quick Filters,Personalize filtros rápidos
Cut,Corte
Cyan,Ciano
DELAY,ATRASO
DELETE,EXCLUIR
DESC,DESC
DLE,DLE
DRAFT,RASCUNHO
Daily,Diário
Daily Event Digest is sent for Calendar Events where reminders are set.,O Daily Event Digest é enviado para eventos do calendário onde os lembretes são definidos.
Daily Events should finish on the Same Day.,Os eventos diários devem terminar no mesmo dia.
Daily Maintenance,Manutenção Diária
Dark,Escuro
Dark Theme,Tema escuro
Dashboard,Painel
Dashboard Chart,Gráfico do painel
Dashboard Chart Field,Campo do gráfico do painel
Dashboard Chart Link,Link do gráfico do painel
Dashboard Chart Source,Fonte do gráfico do painel
Dashboard Manager,Gerenciador de painel
Dashboard Name,Nome do painel
Dashboard Settings,Configurações do painel
Dashboard View,Visualização do painel
Dashboards,Painéis
Data Clipped,Dados cortados
Data Export,Exportação de dados
Data Import,Importação de dados
Data Import Log,Log de importação de dados
Data Import Template,Modelo de importação de dados
Data Import is not allowed for {0}. Enable 'Allow Import' in DocType settings.,A importação de dados não é permitida para {0}. Ative 'Permitir importação' nas configurações do DocType.
Data Too Long,Dados muito longos
Database,Banco de dados
Database Engine,Mecanismo de banco de dados
Database Processes,Processos de banco de dados
Database Row Size Utilization,Utilização do tamanho da linha do banco de dados
Database Storage Usage By Tables,Uso de armazenamento de banco de dados por tabelas
Database Table Row Size Limit,Limite de tamanho de linha da tabela de banco de dados
"Database Table Row Size Utilization: {0}%, this limits number of fields you can add.","Utilização do tamanho da linha da tabela do banco de dados: {0}%, isso limita o número de campos que você pode adicionar."
Database Version,Versão do banco de dados
Date,Data
Date Range,Período
Date after which this security.txt should be considered stale.,Data após a qual este security.txt deve ser considerado obsoleto.
Date {0} must be in format: {1},A data {0} deve estar no formato: {1}
Dates are often easy to guess.,As datas costumam ser fáceis de adivinhar.
Day,Dia
Days,Dias
Days Remaining,Dias restantes
Deadlock Occurred,Ocorreu um impasse
Dear,Querido
"Dear System Manager,","Prezado Gerente de Sistema,"
"Dear User,","Prezado usuário,"
Dear {0},Caro {0}
Debug Log,Registro de depuração
Decimal Separator must be '.' when Quoting is set to Non-numeric,O separador decimal deve ser '.' quando a cotação está definida como não numérica
Decimal Separator must be a single character,O separador decimal deve ser um único caractere
Default Address Template cannot be deleted,O modelo de endereço padrão não pode ser excluído
Default Amendment Naming,Nomenclatura de alteração padrão
Default App,Aplicativo padrão
Default Email Template,Modelo de Email padrão
Default Inbox,Caixa de entrada padrão
Default Incoming,Entrada padrão
Default Naming,Nomenclatura padrão
Default Outgoing,Saída padrão
Default Sending,Envio padrão
Default Sending and Inbox,Envio e caixa de entrada padrão
Default Template For Field,Modelo padrão para campo
Default Theme,Tema padrão
Default User Role,Função de usuário padrão
Default User Type,Tipo de usuário padrão
Default View,Visualização padrão
Default Workspace,Espaço de trabalho padrão
Default display currency,Moeda de exibição padrão
Default for 'Check' type of field {0} must be either '0' or '1',O padrão para o tipo de campo 'Verificar' {0} deve ser '0' ou '1'
Default value for {0} must be in the list of options.,O valor padrão para {0} deve estar na lista de opções.
Default {0},Padrão {0}
DefaultValue,Valor padrão
Defaults Updated,Padrões atualizados
Defaults to `en`,O padrão é `en`
Defines actions on states and the next step and allowed roles.,Define ações nos estados e na próxima etapa e funções permitidas.
Defines how long exported reports sent via email are kept in the system. Older files will be automatically deleted.,Define por quanto tempo os relatórios exportados enviados por Email ficam mantidos no sistema. Os arquivos mais antigos serão excluídos automaticamente.
Defines workflow states and rules for a document.,Define estados e regras de fluxo de trabalho para um documento.
Delayed,Atrasado
Delete,Excluir
Delete Account,Excluir conta
Delete Background Exported Reports After (Hours),Excluir relatórios exportados em segundo plano após (horas)
Delete Column,Excluir coluna
Delete Data,Excluir dados
Delete Demo Data,Excluir dados de demonstração
Delete Kanban Board,Excluir quadro Kanban
Delete Section,Excluir seção
Delete Tab,Excluir guia
Delete all,Excluir tudo
Delete all {0} rows,Excluir todas as {0} linhas
Delete and Generate New,Excluir e gerar novo
Delete column,Excluir coluna
Delete comment?,Excluir comentário?
Delete entire column with fields,Excluir coluna inteira com campos
Delete entire section with fields,Exclua a seção inteira com campos
Delete entire tab with fields,Excluir guia inteira com campos
Delete row,Excluir linha
Delete section,Excluir seção
Delete tab,Excluir guia
Delete this record to allow sending to this email address,Exclua este registro para permitir o envio para este endereço de Email
Delete {0} item permanently?,Excluir {0} item permanentemente?
Delete {0} items permanently?,Excluir {0} itens permanentemente?
Delete {0} rows,Excluir {0} linhas
Deleted,Excluído
Deleted DocType,DocType excluído
Deleted Document,Documento excluído
Deleted all documents successfully,Excluiu todos os documentos com sucesso
Deleting {0},Excluindo {0}
Deleting {0} records...,Excluindo {0} registros...
Deleting {0}...,Excluindo {0}...
Deletion of this document is only permitted in developer mode.,A exclusão deste documento só é permitida no modo de desenvolvedor.
Delimiter Options,Opções de delimitador
Delimiter detection failed. Try to enable custom delimiters and adjust the delimiter options as per your data.,Falha na detecção do delimitador. Tente habilitar delimitadores personalizados e ajustar as opções dos delimitadores de acordo com seus dados.
Delimiter must be a single character,O delimitador deve ser um único caractere
Delivery Status,Status de entrega
Delivery Status Notification Type,Tipo de notificação de status de entrega
Deny,Negar
Department,Departamento
Dependencies,Dependências
Dependencies & Licenses,Dependências e licenças
Descendants Of,Descendentes de
Descendants Of (inclusive),Descendentes de (inclusive)
Description,Descrição
Description to inform the user about any action that is going to be performed,Descrição para informar o usuário sobre qualquer ação que será realizada
Designation,Designação
Desk,Mesa
Desk Settings,Configurações de mesa
Desk Theme,Tema de mesa
Desk User,Usuário de mesa
Desktop,Área de trabalho
Desktop Icon,Ícone da área de trabalho
Desktop Layout,Layout da área de trabalho
Desktop Settings,Configurações da área de trabalho
Details,Detalhes
Detect CSV type,Detectar tipo CSV
Did not add,Não adicionei
Did not remove,Não removeu
Diff,Diferença
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","Diferentes ""Estados"" em que este documento pode existir. Como ""Aberto"", ""Aprovação Pendente"" etc."
Dinars,Dinares
Directory Server,Servidor de diretório
Disable Automatic Recency Filters,Desativar filtros automáticos de atualidade
Disable Change Log Notification,Desativar notificação de registro de alterações
Disable Comment Count,Desativar contagem de comentários
Disable Document Sharing,Desativar compartilhamento de documentos
Disable Product Suggestion,Desativar sugestão de produto
Disable Report,Desativar relatório
Disable Scrolling,Desativar rolagem
Disable Signup for your site,Desative a inscrição para o seu site
Disable Standard Email Footer,Desativar rodapé de Email padrão
Disable System Update Notification,Desativar notificação de atualização do sistema
Disable Username/Password Login,Desativar login com nome de usuário/senha
Disable signups,Desativar inscrições
Disabled,Desabilitado
Disabled Auto Reply,Resposta automática desativada
Discard {0},Descartar {0}
Discard?,Descartar?
Discarded,Descartado
Disclaimer: These indexes are suggested based on data and queries performed during this recording. These suggestions may or may not help.,Isenção de responsabilidade: esses índices são sugeridos com base nos dados e consultas realizadas durante esta gravação. Essas sugestões podem ou não ajudar.
Discussion Reply,Resposta à discussão
Discussion Topic,Tópico de discussão
Dismiss,Liberar
Display,Mostrar
Display Depends On (JS),A exibição depende de (JS)
Divider,Divisor
Do not create new user if user with email does not exist in the system,Não criar novo usuário se o usuário com email não existir no sistema
Do not edit headers which are preset in the template,Não edite cabeçalhos predefinidos no modelo
Do not warn me again about {0},Não me avise novamente sobre {0}
Do you still want to proceed?,Você ainda deseja prosseguir?
Do you want to cancel all linked documents?,Deseja cancelar todos os documentos vinculados?
Doc Event,Evento de documento
Doc Events,Eventos de documentos
Doc Status,Status do documento
DocField,CampoDoc
DocPerm,Permissões de documento
DocShare,Compartilhamento de documento
