 to your browser,para o seu navegador
Checking one moment,Verificando um momento
"Checking this will enable tracking page views for blogs, web pages, etc.","Marcar isso permitirá o rastreamento de visualizações de páginas de blogs, páginas da web, etc."
Checking this will hide custom doctypes and reports cards in Links section,Marcar isso ocultará documentos personalizados e cartões de relatórios na seção Links
Checking this will publish the page on your website and it'll be visible to everyone.,Marcar isso publicará a página em seu site e ficará visível para todos.
Checking this will show a text area where you can write custom javascript that will run on this page.,Marcar isso mostrará uma área de texto onde você pode escrever javascript personalizado que será executado nesta página.
Checksum Version,Versão da soma de verificação
Child DocTypes are not allowed,DocTypes filhos não são permitidos
Child Doctype,Tipo de documento filho
Child Table {0} for field {1},Tabela filha {0} para o campo {1}
Child Tables are shown as a Grid in other DocTypes,Tabelas filhas são mostradas como uma grade em outros DocTypes
Choose Existing Card or create New Card,Escolha o cartão existente ou crie um novo cartão
Choose a block or continue typing,Escolha um bloco ou continue digitando
Choose a color,Escolha uma cor
Choose an icon,Escolha um ícone
Choose authentication method to be used by all users,Escolha o método de autenticação a ser usado por todos os usuários
City/Town,Cidade/Vila
Clear & Add Template,Limpar e adicionar modelo
Clear & Add template,Limpar e adicionar modelo
Clear Assignment,Limpar tarefa
Clear Cache and Reload,Limpar cache e recarregar
Clear Error Logs,Limpar registros de erros
Clear Filters,Limpar filtros
Clear Logs After (days),Limpar registros após (dias)
Clear User Permissions,Limpar permissões do usuário
Clear all filters,Limpar todos os filtros
Clear the email message and add the template,Limpe a mensagem de e-mail e adicione o modelo
"Clearing end date, as it cannot be in the past for published pages.","Data de término de compensação, pois não pode estar no passado para páginas publicadas."
Click On Customize to add your first widget,Clique em Personalizar para adicionar seu primeiro widget
Click here,Clique aqui
Click here to verify,Clique aqui para verificar
Click on <b>Authorize Google Drive Access</b> to authorize Google Drive Access.,Clique em <b>Autorizar acesso ao Google Drive</b> para autorizar o acesso ao Google Drive.
Click on a file to select it.,Clique em um arquivo para selecioná-lo.
Click on the button to log in to {0},Clique no botão para fazer login em {0}
Click on the link below to approve the request,Clique no link abaixo para aprovar a solicitação
Click on the link below to complete your registration and set a new password,Clique no link abaixo para concluir seu cadastro e definir uma nova senha
Click on the link below to download your data,Clique no link abaixo para baixar seus dados
Click on the link below to verify your request,Clique no link abaixo para verificar sua solicitação
Click on {0} to generate Refresh Token.,Clique em {0} para gerar o token de atualização.
Click table to edit,Clique na tabela para editar
Click to Set Dynamic Filters,Clique para definir filtros dinâmicos
Click to Set Filters,Clique para definir filtros
Click to sort by {0},Clique para classificar por {0}
Clicked,Clicado
Client Code,Código do cliente
Client Credentials,Credenciais do cliente
Client ID,ID do cliente
Client Id,ID do cliente
Client Information,Informações do cliente
Client Script,Script do cliente
Client Secret,Segredo do cliente
Client URLs,URLs de clientes
Client script,Script do cliente
Close Condition,Fechar condição
Close properties,Fechar propriedades
Cmd+Enter to add comment,Cmd+Enter para adicionar comentário
Code Challenge,Desafio de código
Code Editor Type,Tipo de editor de código
Code challenge method,Método de desafio de código
Collapse,Colapso
Collapsible,Dobrável
Collapsible Depends On,Dobrável depende de
Collapsible Depends On (JS),Depende do dobrável (JS)
Column,Coluna
Column 1,Coluna 1
Column 2,Coluna 2
Column <b>{0}</b> already exist.,A coluna <b>{0}</b> já existe.
Column Break,Quebra de coluna
Column Labels:,Etiquetas de coluna:
Column Name,Nome da coluna
Column Name cannot be empty,O nome da coluna não pode ficar vazio
Column Width,Largura da coluna
Column width cannot be zero.,A largura da coluna não pode ser zero.
Columns,Colunas
Columns / Fields,Colunas/Campos
Columns based on,Colunas baseadas em
Combination of Grant Type (<code>{0}</code>) and Response Type (<code>{1}</code>) not allowed,Combinação de tipo de concessão (<code>{0}</code>) e tipo de resposta (<code>{1}</code>) não permitida
Comm10E,Comm10E
Comment,Comentário
Comment By,Comentário por
Comment Email,E-mail de comentário
Comment Type,Tipo de comentário
Comment can only be edited by the owner,O comentário só pode ser editado pelo proprietário
Comment limit,Limite de comentários
Comment limit per hour,Limite de comentários por hora
Comment publicity can only be updated by the original author or a System Manager.,A publicidade dos comentários só pode ser atualizada pelo autor original ou por um Gerente do Sistema.
Comments and Communications will be associated with this linked document,Comentários e comunicações serão associados a este documento vinculado
Comments cannot have links or email addresses,Os comentários não podem conter links ou endereços de e-mail
Commercial Rounding,Arredondamento Comercial
Commit,Comprometer-se
Committed,Empenhado
Common names and surnames are easy to guess.,Nomes e sobrenomes comuns são fáceis de adivinhar.
Communication Link,Link de comunicação
Communication Type,Tipo de comunicação
Communication secret not set,Segredo de comunicação não definido
Company History,História da Empresa
Company Introduction,Introdução da empresa
Compare Versions,Comparar versões
Compilation warning,Aviso de compilação
Compiled Successfully,Compilado com sucesso
Complete By,Concluir por
Complete Registration,Registro completo
Complete Setup,Configuração completa
Completed By Role,Concluído por função
Completed By User,Concluído pelo usuário
Compose Email,Escrever e-mail
Compressed,Comprimido
Condition JSON,Condição JSON
Condition description,Descrição da condição
Configure Chart,Configurar gráfico
Configure Columns,Configurar colunas
Configure Recorder,Configurar gravador
Configure columns for {0},Configurar colunas para {0}
Configure how amended documents will be named.<br>||||||Default behaviour is to follow an amend counter which adds a number to the end of the original name indicating the amended version. <br>||||||Default Naming will make the amended document to behave same as new documents.,Configure como os documentos alterados serão nomeados.<br>||||||O comportamento padrão é seguir um contador de alterações que adiciona um número ao final do nome original indicando a versão alterada. <br>||||||A nomenclatura padrão fará com que o documento alterado se comporte da mesma forma que os novos documentos.
"Configure various aspects of how document naming works like naming series, current counter.","Configure vários aspectos de como a nomenclatura de documentos funciona, como nomenclatura de séries e contador atual."
Confirm Access,Confirmar acesso
Confirm Deletion of Account,Confirmar exclusão da conta
Confirm New Password,Confirme a nova senha
Confirm Password,Confirme sua senha
Confirm Request,Confirmar solicitação
Confirm Your Email,Confirme seu e-mail
Confirmation Email Template,Modelo de e-mail de confirmação
Confirmed,Confirmado
"Congratulations on completing the module setup. If you want to learn more you can refer to the documentation <a target=""_blank"" href=""{0}"">here</a>.","Parabéns por concluir a configuração do módulo. Se quiser saber mais, consulte a documentação <a target=""_blank"" href=""{0}"">aqui</a>."
Connect to {},Conecte-se a {}
Connected App,Aplicativo conectado
Connected User,Usuário conectado
Connected to QZ Tray!,Conectado à bandeja QZ!
Connection Lost,Conexão perdida
Connection Success,Sucesso de conexão
Connection lost. Some features might not work.,Conexão perdida. Alguns recursos podem não funcionar.
Console,Console
Console Log,Registro do console
Console Logs can not be deleted,Os logs do console não podem ser excluídos
Constraints,Restrições
Contact Numbers,Números de contato
Contact Phone,Telefone de contato
Contact Synced with Google Contacts.,Contato sincronizado com os Contatos do Google.
Contact Us,Contate-nos
Contact Us Settings,Contate-nos Configurações
"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.","Opções de contato, como ""Consulta de vendas, Consulta de suporte"" etc., cada uma em uma nova linha ou separadas por vírgulas."
Contains {0} security fix,Contém {0} correção de segurança
Contains {0} security fixes,Contém {0} correções de segurança
Content (HTML),Conteúdo (HTML)
Content (Markdown),Conteúdo (remarcação)
Content Hash,Hash de conteúdo
Content data shoud be a list,Os dados de conteúdo devem ser uma lista
Content type for building the page,Tipo de conteúdo para construção da página
Context,Contexto
Context Script,Script de Contexto
Contributed,Contribuído
Contribution Document Name,Nome do documento de contribuição
Contribution Status,Status de contribuição
"Controls whether new users can sign up using this Social Login Key. If unset, Website Settings is respected.","Controla se novos usuários podem se inscrever usando esta chave de login social. Se não for definido, as configurações do site serão respeitadas."
Copied to clipboard.,Copiado para a área de transferência.
Copy Link,Copiar link
Copy embed code,Copiar código incorporado
Copy error to clipboard,Erro de cópia para a área de transferência
Copy to Clipboard,Copiar para a área de transferência
Copyright,Direitos autorais
Core,Essencial
Core DocTypes cannot be customized.,Os DocTypes principais não podem ser personalizados.
Core Modules {0} cannot be searched in Global Search.,Os Módulos Principais {0} não podem ser pesquisados ​​na Pesquisa Global.
Correct version :,Versão correta:
Could not connect to outgoing email server,Não foi possível conectar-se ao servidor de e-mail de saída
Could not find {0},Não foi possível encontrar {0}
Could not map column {0} to field {1},Não foi possível mapear a coluna {0} para o campo {1}
Could not start up: ,Não foi possível iniciar:
"Couldn't save, please check the data you have entered","Não foi possível salvar, verifique os dados inseridos"
Count Customizations,Contar personalizações
Count Filter,Filtro de contagem
Counter,Contador
Country Code Required,Código do país obrigatório
Country Name,Nome do país
County,Condado
Create & Continue,Criar e continuar
Create Address,Criar endereço
Create Card,Criar cartão
Create Chart,Criar gráfico
Create Child Doctype,Criar tipo de documento filho
Create Contacts from Incoming Emails,Crie contatos a partir de e-mails recebidos
Create Entry,Criar entrada
Create Letter Head,Criar cabeçalho de carta
Create Log,Criar registro
Create New,Criar novo
Create New DocType,Criar novo tipo de documento
Create New Kanban Board,Criar novo quadro Kanban
Create User Email,Criar e-mail de usuário
Create a New Format,Crie um novo formato
Create a Reminder,Crie um lembrete
Create a new ...,Crie um novo...
Create a new record,Crie um novo registro
Create a new {0},Crie um novo {0}
Create a {0} Account,Crie uma conta {0}
Create and send emails to a specific group of subscribers periodically.,Crie e envie emails para um grupo específico de assinantes periodicamente.
Create or Edit Print Format,Criar ou editar formato de impressão
Create or Edit Workflow,Criar ou editar fluxo de trabalho
Create your first {0},Crie seu primeiro {0}
Create your workflow visually using the Workflow Builder.,Crie seu fluxo de trabalho visualmente usando o Workflow Builder.
Created,Criado
Created At,Criado em
Created By,Criado por
Created Custom Field {0} in {1},Campo personalizado criado {0} em {1}
Creating {0},Criando {0}
Creation of this document is only permitted in developer mode.,A criação deste documento só é permitida no modo de desenvolvedor.
Cron,Cron
Cron Format,Formato Cron
Cron format is required for job types with Cron frequency.,O formato Cron é necessário para tipos de trabalho com frequência Cron.
Crop,Cortar
Ctrl + Down,Ctrl + Baixo
Ctrl + Up,Ctrl + Cima
Ctrl+Enter to add comment,Ctrl+Enter para adicionar comentário
Currency Name,Nome da moeda
Currency Precision,Precisão da moeda
"Currency list stores the currency value, its symbol and fraction unit","A lista de moedas armazena o valor da moeda, seu símbolo e unidade fracionária"
Current Job ID,ID do trabalho atual
Current Value,Valor Atual
Current status,Estado atual
Currently Viewing,Atualmente visualizando
Custom Base URL,URL base personalizado
Custom Block Name,Nome do bloco personalizado
Custom Blocks,Blocos personalizados
Custom CSS,CSS personalizado
Custom Configuration,Configuração personalizada
Custom Delimiters,Delimitadores personalizados
Custom DocPerm,DocPerm personalizado
Custom Document Types (Select Permission),Tipos de documentos personalizados (selecionar permissão)
Custom Document Types Limit Exceeded,Limite de tipos de documentos personalizados excedido
Custom Documents,Documentos personalizados
Custom Field,Campo personalizado
Custom Field {0} is created by the Administrator and can only be deleted through the Administrator account.,O campo personalizado {0} é criado pelo administrador e só pode ser excluído por meio da conta do administrador.
Custom Fields can only be added to a standard DocType.,Campos personalizados só podem ser adicionados a um DocType padrão.
Custom Fields cannot be added to core DocTypes.,Os campos personalizados não podem ser adicionados aos DocTypes principais.
Custom Footer,Rodapé personalizado
Custom Format,Formato personalizado
Custom Group Search,Pesquisa de grupo personalizada
"Custom Group Search if filled needs to contain the user placeholder {0}, eg uid={0},ou=users,dc=example,dc=com","A pesquisa de grupo personalizada, se preenchida, precisa conter o espaço reservado do usuário {0}, por exemplo, uid={0},ou=users,dc=example,dc=com"
Custom HTML,HTML personalizado
Custom HTML Block,Bloco HTML personalizado
Custom HTML Help,Ajuda HTML personalizada
"Custom LDAP Directoy Selected, please ensure 'LDAP Group Member attribute' and 'Group Object Class' are entered","Diretório LDAP personalizado selecionado, certifique-se de que 'Atributo de membro do grupo LDAP' e 'Classe de objeto de grupo' sejam inseridos"
Custom Label,Etiqueta personalizada
Custom Menu Items,Itens de menu personalizados
Custom Options,Opções personalizadas
Custom Overrides,Substituições personalizadas
Custom Report,Relatório personalizado
Custom Reports,Relatórios personalizados
Custom Role,Função personalizada
Custom SCSS,SCSS personalizado
Custom Sidebar Menu,Menu da barra lateral personalizado
Custom field renamed to {0} successfully.,Campo personalizado renomeado para {0} com sucesso.
Customization,Personalização
Customizations Discarded,Personalizações descartadas
Customizations Reset,Redefinição de personalizações
Customizations for <b>{0}</b> exported to:<br>{1},Personalizações para <b>{0}</b> exportadas para:<br>{1}
Customize,Personalizar
Customize Child Table,Personalizar tabela filho
Customize Dashboard,Personalizar painel
Customize Form,Personalizar formulário
Customize Form - {0},Personalizar formulário - {0}
Customize Form Field,Personalizar campo de formulário
Cut,Corte
DELETE,EXCLUIR
DESC,DESC
DLE,DLE
DRAFT,RASCUNHO
Daily Event Digest is sent for Calendar Events where reminders are set.,O Daily Event Digest é enviado para eventos do calendário onde os lembretes são definidos.
Daily Events should finish on the Same Day.,Os eventos diários devem terminar no mesmo dia.
Daily Long,Longo diário
Daily Maintenance,Manutenção Diária
Danger,Perigo
Dark,Escuro
Dark Color,Cor Escura
Dark Theme,Tema escuro
Dashboard Chart,Gráfico do painel
Dashboard Chart Field,Campo do gráfico do painel
Dashboard Chart Link,Link do gráfico do painel
Dashboard Chart Source,Fonte do gráfico do painel
Dashboard Manager,Gerenciador de painel
Dashboard Name,Nome do painel
Dashboard Settings,Configurações do painel
Dashboard View,Visualização do painel
Dashboards,Painéis
Data,Dados
Data Clipped,Dados cortados
Data Export,Exportação de dados
Data Import,Importação de dados
Data Import Log,Log de importação de dados
Data Import Template,Modelo de importação de dados
Data Too Long,Dados muito longos
Database,Banco de dados
Database Engine,Mecanismo de banco de dados
Database Processes,Processos de banco de dados
Database Row Size Utilization,Utilização do tamanho da linha do banco de dados
Database Storage Usage By Tables,Uso de armazenamento de banco de dados por tabelas
Database Table Row Size Limit,Limite de tamanho de linha da tabela de banco de dados
"Database Table Row Size Utilization: {0}%, this limits number of fields you can add.","Utilização do tamanho da linha da tabela do banco de dados: {0}%, isso limita o número de campos que você pode adicionar."
Database Version,Versão do banco de dados
Date Format,Formato de data
Date and Number Format,Formato de data e número
Date {0} must be in format: {1},A data {0} deve estar no formato: {1}
Dates are often easy to guess.,As datas costumam ser fáceis de adivinhar.
Datetime,Datahora
Days After,Dias depois
Days Before,Dias antes
Days Before or After,Dias antes ou depois
Deadlock Occurred,Ocorreu um impasse
"Dear User,","Prezado usuário,"
Dear {0},Caro {0}
Debug Log,Registro de depuração
Decimal Separator must be '.' when Quoting is set to Non-numeric,O separador decimal deve ser '.' quando a cotação está definida como não numérica
Decimal Separator must be a single character,O separador decimal deve ser um único caractere
Default Address Template cannot be deleted,O modelo de endereço padrão não pode ser excluído
Default Amendment Naming,Nomenclatura de alteração padrão
Default App,Aplicativo padrão
Default Email Template,Modelo de e-mail padrão
Default Inbox,Caixa de entrada padrão
Default Incoming,Entrada padrão
Default Naming,Nomenclatura padrão
Default Outgoing,Saída padrão
Default Portal Home,Página inicial do portal padrão
Default Print Format,Formato de impressão padrão
Default Print Language,Idioma de impressão padrão
Default Redirect URI,URI de redirecionamento padrão
Default Role at Time of Signup,Função padrão no momento da inscrição
Default Sending,Envio padrão
Default Sending and Inbox,Envio e caixa de entrada padrão
Default Sort Field,Campo de classificação padrão
Default Sort Order,Ordem de classificação padrão
Default Template For Field,Modelo padrão para campo
Default Theme,Tema padrão
Default User Role,Função de usuário padrão
Default User Type,Tipo de usuário padrão
Default View,Visualização padrão
Default Workspace,Espaço de trabalho padrão
Default display currency,Moeda de exibição padrão
Default for 'Check' type of field {0} must be either '0' or '1',O padrão para o tipo de campo 'Verificar' {0} deve ser '0' ou '1'
Default value for {0} must be in the list of options.,O valor padrão para {0} deve estar na lista de opções.
Default {0},Padrão {0}
"Default: ""Contact Us""","Padrão: ""Fale Conosco"""
DefaultValue,Valor padrão
Defaults Updated,Padrões atualizados
Defines actions on states and the next step and allowed roles.,Define ações nos estados e na próxima etapa e funções permitidas.
Defines workflow states and rules for a document.,Define estados e regras de fluxo de trabalho para um documento.
Delete Account,Excluir conta
Delete All,Excluir tudo
Delete Column,Excluir coluna
Delete Data,Excluir dados
Delete Kanban Board,Excluir quadro Kanban
Delete Section,Excluir seção
Delete Tab,Excluir guia
Delete and Generate New,Excluir e gerar novo
Delete column,Excluir coluna
Delete comment?,Excluir comentário?
Delete entire column with fields,Excluir coluna inteira com campos
Delete entire section with fields,Exclua a seção inteira com campos
Delete entire tab with fields,Excluir guia inteira com campos
Delete section,Excluir seção
Delete tab,Excluir guia
Delete this record to allow sending to this email address,Exclua este registro para permitir o envio para este endereço de e-mail
Delete {0} item permanently?,Excluir {0} item permanentemente?
Delete {0} items permanently?,Excluir {0} itens permanentemente?
Deleted,Excluído
Deleted DocType,DocType excluído
Deleted Document,Documento excluído
Deleted Name,Nome excluído
Deleted all documents successfully,Excluiu todos os documentos com sucesso
Deleting {0},Excluindo {0}
Deleting {0} records...,Excluindo {0} registros...
Deleting {0}...,Excluindo {0}...
Deletion Steps ,Etapas de exclusão
Deletion of this document is only permitted in developer mode.,A exclusão deste documento só é permitida no modo de desenvolvedor.
Delimiter Options,Opções de delimitador
Delimiter detection failed. Try to enable custom delimiters and adjust the delimiter options as per your data.,Falha na detecção do delimitador. Tente habilitar delimitadores personalizados e ajustar as opções dos delimitadores de acordo com seus dados.
Delimiter must be a single character,O delimitador deve ser um único caractere
Deny,Negar
Dependencies & Licenses,Dependências e licenças
Depends On,Depende de
Descendants Of,Descendentes de
Descendants Of (inclusive),Descendentes de (inclusive)
"Description for listing page, in plain text, only a couple of lines. (max 200 characters)","Descrição da página de listagem, em texto simples, apenas algumas linhas. (máximo de 200 caracteres)"
Description to inform the user about any action that is going to be performed,Descrição para informar o usuário sobre qualquer ação que será realizada
Desk,Mesa
Desk Access,Acesso à mesa
Desk Settings,Configurações de mesa
Desk Theme,Tema de mesa
Desktop Icon,Ícone da área de trabalho
Desktop Icon already exists,O ícone da área de trabalho já existe
Detect CSV type,Detectar tipo CSV
Did not add,Não adicionei
Did not remove,Não removeu
Diff,Diferença
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","Diferentes ""Estados"" em que este documento pode existir. Como ""Aberto"", ""Aprovação Pendente"" etc."
Digits,Dígitos
Directory Server,Servidor de diretório
Disable Auto Refresh,Desativar atualização automática
Disable Automatic Recency Filters,Desativar filtros automáticos de atualidade
Disable Change Log Notification,Desativar notificação de registro de alterações
Disable Comment Count,Desativar contagem de comentários
Disable Comments,Desativar comentários
Disable Contact Us Page,Desativar página de contato
Disable Count,Desativar contagem
Disable Document Sharing,Desativar compartilhamento de documentos
Disable Likes,Desativar curtidas
Disable Report,Desativar relatório
Disable SMTP server authentication,Desative a autenticação do servidor SMTP
Disable Sidebar Stats,Desativar estatísticas da barra lateral
Disable Signup for your site,Desative a inscrição para o seu site
Disable Standard Email Footer,Desativar rodapé de e-mail padrão
Disable System Update Notification,Desativar notificação de atualização do sistema
Disable Username/Password Login,Desativar login com nome de usuário/senha
Disable signups,Desativar inscrições
Disabled Auto Reply,Resposta automática desativada
Discard,Descartar
Discard {0},Descartar {0}
Discard?,Descartar?
Discarded,Descartado
Disclaimer: These indexes are suggested based on data and queries performed during this recording. These suggestions may or may not help.,Isenção de responsabilidade: esses índices são sugeridos com base nos dados e consultas realizadas durante esta gravação. Essas sugestões podem ou não ajudar.
Discussion Reply,Resposta à discussão
Discussion Topic,Tópico de discussão
Dismiss,Liberar
Display,Mostrar
Display Depends On,A exibição depende de
Display Depends On (JS),A exibição depende de (JS)
Divider,Divisor
Do Not Create New User ,Não crie novo usuário
Do not create new user if user with email does not exist in the system,Não criar novo usuário se o usuário com email não existir no sistema
Do not edit headers which are preset in the template,Não edite cabeçalhos predefinidos no modelo
Do not have permission to access bucket {0}.,Não tem permissão para acessar o intervalo {0}.
Do you want to cancel all linked documents?,Deseja cancelar todos os documentos vinculados?
Doc Event,Evento de documento
Doc Events,Eventos de documentos
Doc Status,Status do documento
DocPerm,DocPerm
DocShare,DocShare
DocStatus of the following states have changed:<br><strong>{0}</strong><br>|||				Do you want to update the docstatus of existing documents in those states?<br>|||				This does not undo any effect bought in by the document's existing docstatus.|||				,DocStatus dos seguintes estados foram alterados:<br><strong>{0}</strong><br>|||				Deseja atualizar o status dos documentos existentes nesses estados?<br>|||				Isso não anula nenhum efeito adquirido pelo status de documento existente do documento.|||
DocType <b>{0}</b> provided for the field <b>{1}</b> must have atleast one Link field,DocType <b>{0}</b> fornecido para o campo <b>{1}</b> deve ter pelo menos um campo Link
DocType Action,Ação DocType
DocType Event,Evento DocType
DocType Layout,Layout DocType
DocType Layout Field,Campo de layout DocType
DocType Link,Link do tipo de documento
DocType State,Estado DocType
DocType View,Visualização de tipo de documento
DocType can not be merged,DocType não pode ser mesclado
DocType can only be renamed by Administrator,DocType só pode ser renomeado pelo Administrador
DocType is a Table / Form in the application.,DocType é uma Tabela/Formulário na aplicação.
DocType must be Submittable for the selected Doc Event,DocType deve ser submissível para o evento de documento selecionado
DocType must be a string,DocType deve ser uma string
DocType must have atleast one field,DocType deve ter pelo menos um campo
DocType not supported by Log Settings.,DocType não suportado pelas configurações de log.
DocType on which this Workflow is applicable.,DocType ao qual este fluxo de trabalho é aplicável.
DocType required,DocType obrigatório
DocType {0} does not exist.,DocType {0} não existe.
DocType {} not found,DocType {} não encontrado
DocType's name should not start or end with whitespace,O nome do DocType não deve começar ou terminar com espaço em branco
"DocTypes cannot be modified, please use {0} instead","DocTypes não podem ser modificados, use {0} em vez disso"
Doctype name is limited to {0} characters ({1}),O nome do tipo de documento é limitado a {0} caracteres ({1})
Doctype required,Tipo de documento obrigatório
Document,Documento
Document Actions,Ações do documento
Document Follow,Acompanhamento de documento
Document Follow Notification,Notificação de acompanhamento de documento
Document Link,Link do documento
Document Linking,Vinculação de documentos
Document Links,Links de documentos
Document Links Row #{0}: Could not find field {1} in {2} DocType,Linha nº {0} de links de documentos: não foi possível encontrar o campo {1} em {2} DocType
Document Links Row #{0}: Invalid doctype or fieldname.,Linha nº {0} de links de documentos: tipo de documento ou nome de campo inválido.
Document Links Row #{0}: Parent DocType is mandatory for internal links,Linha #{0} de links de documentos: DocType pai é obrigatório para links internos
Document Links Row #{0}: Table Fieldname is mandatory for internal links,Linha #{0} de links de documentos: o nome do campo da tabela é obrigatório para links internos
Document Name must be a string,O nome do documento deve ser uma string
Document Naming Rule,Regra de nomenclatura de documentos
Document Naming Rule Condition,Condição da regra de nomenclatura de documentos
Document Naming Settings,Configurações de nomenclatura de documentos
Document Queued,Documento na fila
Document Restoration Summary,Resumo da restauração de documentos
Document Restored,Documento restaurado
Document Saved,Documento salvo
Document Share,Compartilhamento de documentos
Document Share Key,Chave de compartilhamento de documento
Document Share Key Expiry (in Days),Expiração da chave de compartilhamento de documentos (em dias)
Document Share Report,Relatório de compartilhamento de documentos
Document States,Estados do documento
Document Tag,Etiqueta do documento
Document Title,Título do documento
Document Type and Function are required to create a number card,O tipo de documento e a função são necessários para criar um cartão numérico
Document Type is not importable,O tipo de documento não é importável
Document Type is not submittable,O tipo de documento não pode ser enviado
Document Type to Track,Tipo de documento a ser rastreado
Document Type {0} has been repeated.,O tipo de documento {0} foi repetido.
Document Types,Tipos de documentos
Document Types (Select Permissions Only),Tipos de documentos (somente permissões selecionadas)
Document Types and Permissions,Tipos e permissões de documentos
Document Unlocked,Documento desbloqueado
Document follow is not enabled for this user.,O acompanhamento de documentos não está ativado para este usuário.
Document has been cancelled,O documento foi cancelado
Document has been submitted,O documento foi enviado
Document is in draft state,O documento está em estado de rascunho
Document is only editable by users with role,O documento só pode ser editado por usuários com função
Document not Relinked,Documento não vinculado novamente
Document renamed from {0} to {1},Documento renomeado de {0} para {1}
Document renaming from {0} to {1} has been queued,A renomeação de documentos de {0} para {1} foi colocada na fila
Document type is required to create a dashboard chart,O tipo de documento é necessário para criar um gráfico de painel
Document {0} Already Restored,Documento {0} já restaurado
Document {0} has been set to state {1} by {2},O documento {0} foi definido para o estado {1} por {2}
Document {0} {1} does not exist,O documento {0} {1} não existe
Documentation Link,Link da documentação
Documentation URL,URL da documentação
Documents restored successfully,Documentos restaurados com sucesso
Documents that failed to restore,Documentos que não foram restaurados
Documents that were already restored,Documentos que já foram restaurados
Domain Name,Nome de domínio
Domain Settings,Configurações de domínio
Domains,Domínios
Domains HTML,Domínios HTML
"Don't HTML Encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field","Não codifique tags HTML como &lt;script&gt; ou apenas caracteres como &lt; ou &gt;, pois podem ser usados ​​intencionalmente neste campo"
Don't Import,Não importe
Don't Override Status,Não substitua o status
"Don't encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field","Não codifique tags HTML como &lt;script&gt; ou apenas caracteres como &lt; ou &gt;, pois podem ser usados ​​intencionalmente neste campo"
Don't have an account?,Não tem uma conta?
Donut,Rosquinha
Double click to edit label,Clique duas vezes para editar o rótulo
Download Backups,Baixar backups
Download Data,Baixar dados
Download Files Backup,Baixar backup de arquivos
Download Link,Link para baixar
Download Report,Baixar relatório
Download Your Data,Baixe seus dados
Download vCard,Baixar vCard
Download vCards,Baixar vCards
Drag,Arrastar
Drag & Drop a section here from another tab,Arraste e solte uma seção aqui de outra guia
Drag and drop files here or upload from,Arraste e solte arquivos aqui ou faça upload de
Drag columns to set order. Column width is set in percentage. The total width should not be more than 100. Columns marked in red will be removed.,Arraste as colunas para definir a ordem. A largura da coluna é definida em porcentagem. A largura total não deve ser superior a 100. As colunas marcadas em vermelho serão removidas.
Drag elements from the sidebar to add. Drag them back to trash.,Arraste os elementos da barra lateral para adicionar. Arraste-os de volta para a lixeira.
Drag to add state,Arraste para adicionar estado
Drop files here,Solte os arquivos aqui
Dropbox Access Token,Token de acesso do Dropbox
Dropbox Refresh Token,Token de atualização do Dropbox
Dropbox Settings,Configurações do Dropbox
Dropbox Setup,Configuração do Dropbox
Dropdowns,Menus suspensos
Duplicate Filter Name,Nome de filtro duplicado
Duplicate Name,Nome duplicado
Duplicate current row,Duplicar linha atual
Duplicate field,Campo duplicado
Dynamic,Dinâmico
Dynamic Filters,Filtros Dinâmicos
Dynamic Filters JSON,Filtros Dinâmicos JSON
Dynamic Filters Section,Seção de filtros dinâmicos
Dynamic Link,Link Dinâmico
Dynamic Report Filters,Filtros de relatórios dinâmicos
Dynamic Route,Rota Dinâmica
Dynamic Template,Modelo Dinâmico
ESC,ESC
Edit Address in Form,Editar endereço no formulário
Edit Auto Email Report Settings,Editar configurações de relatório automático por e-mail
Edit Chart,Editar gráfico
Edit Custom Block,Editar bloco personalizado
Edit Custom HTML,Editar HTML personalizado
Edit DocType,Editar tipo de documento
Edit Existing,Editar existente
Edit Filter,Editar filtro
Edit Filters,Editar filtros
Edit Footer,Editar rodapé
Edit Format,Editar formato
Edit HTML,Editar HTML
Edit Header,Editar cabeçalho
Edit Heading,Editar título
Edit Letter Head,Editar cabeçalho da carta
Edit Letter Head Footer,Editar rodapé do cabeçalho da carta
Edit Links,Editar links
Edit Number Card,Editar cartão numérico
Edit Onboarding,Editar integração
Edit Print Format,Editar formato de impressão
Edit Profile,Editar perfil
Edit Properties,Editar propriedades
Edit Quick List,Editar lista rápida
Edit Shortcut,Editar atalho
Edit Values,Editar valores
Edit mode,Modo de edição
Edit the {0} Doctype,Edite o tipo de documento {0}
Edit to add content,Edite para adicionar conteúdo
Edit your response,Edite sua resposta
Edit your workflow visually using the Workflow Builder.,Edite seu fluxo de trabalho visualmente usando o Workflow Builder.
Edit {0},Editar {0}
Editable Grid,Grade editável
Editing Row,Editando linha
Editing {0},Editando {0}
Eg. smsgateway.com/api/send_sms.cgi,Por exemplo. smsgateway.com/api/send_sms.cgi
Either key or IP flag is required.,É necessária uma chave ou sinalizador de IP.
Element Selector,Seletor de elemento
Email Account Disabled.,Conta de e-mail desativada.
Email Account Name,Nome da conta de e-mail
